# Master Index Workbench v2.0.0 (released 2026-07-12) — https://kr48vr.github.io/master-of-all-indices/
# Data license: CC BY-NC-SA 4.0 (compilation); individual values inherit source terms recorded in provenance
# A blank value is honest missing data (see the note column), never a zero.
city,measure_id,measure,area,subtheme,unit,direction,data_level,approx,value,year,source,note
Hong Kong,LIV-05,Physicians per capita,Liveable,Health,per 1k,higher,Metro,none,2.2,2024,"Computed: 16,533 registered doctors / 7.5241M mid-2024 population, both from 'Health Facts of Hong Kong 2025' (Department of Health)","Doctors ON THE REGISTER (not necessarily practising), excludes dentists and Chinese-medicine practitioners — narrower than the mainland definition. DoH's own printed ratio 1:456 ≈ 2.19 per 1,000."
Taipei,LIV-05,Physicians per capita,Liveable,Health,per 1k,higher,Metro,none,4.76,2024,"Taiwan MOHW 2024 medical-institution annual report, Table 29: 47.6 Western-medicine physicians per 10,000, Taipei City","Practising WESTERN-MEDICINE physicians only (TCM and dentists published separately), counted at place of practice over registered population — inflated by patients commuting from the wider metro (like DC/Paris cores)."
Bangkok,LIV-05,Physicians per capita,Liveable,Health,per 1k,higher,Metro,none,2.34,2024,"MOPH Thailand, Report on Health Resources 2024, Table 11: population per doctor = 428 in Bangkok","CITY level (all affiliations incl. private). Denominator is the registered mid-year population; Bangkok's service population is larger and its doctors serve patients nationwide. Thailand national comparator: 0.59 per 1,000 (WHO, 2023)."
Kuala Lumpur,LIV-05,Physicians per capita,Liveable,Health,per 1k,higher,Metro,none,2.27,2024,"WHO GHO HWF_0001 — Malaysia: 22.72 medical doctors per 10,000",COUNTRY proxy (no state-level density published).
Jakarta,LIV-05,Physicians per capita,Liveable,Health,per 1k,higher,Metro,none,0.56,2024,"WHO GHO HWF_0001 — Indonesia: 5.59 per 10,000",COUNTRY proxy (BPS provincial health statistics not fetchable this session).
Manila,LIV-05,Physicians per capita,Liveable,Health,per 1k,higher,Metro,none,0.87,2024,"WHO GHO HWF_0001 — Philippines: 8.69 per 10,000",COUNTRY proxy.
Ho Chi Minh City,LIV-05,Physicians per capita,Liveable,Health,per 1k,higher,Metro,none,1.11,2021,"WHO GHO HWF_0001 — Viet Nam: 11.07 per 10,000 (latest)",COUNTRY proxy.
Mumbai,LIV-05,Physicians per capita,Liveable,Health,per 1k,higher,Metro,none,0.96,2024,"WHO GHO HWF_0001 — India: 9.55 per 10,000","COUNTRY proxy (state tables publish registered stock, not active density)."
Abu Dhabi,LIV-05,Physicians per capita,Liveable,Health,per 1k,higher,Metro,none,2.99,2023,"WHO GHO HWF_0001 — United Arab Emirates: 29.92 per 10,000 (latest)",COUNTRY proxy (SCAD emirate-level figure not fetchable this session).
Shanghai,LIV-05,Physicians per capita,Liveable,Health,per 1k,higher,Metro,none,3.8,2024,"Shanghai Statistical Yearbook 2025, Table 21.1: 38 licensed (assistant) physicians per 10,000","Yearbook publishes the ratio as an integer per 10,000 (coarse). Chinese 执业(助理)医师 includes clinical, TCM, stomatology and public-health physicians — broader than OECD 'practising'. Official statistic; independent verification not possible."
Beijing,LIV-05,Physicians per capita,Liveable,Health,per 1k,higher,Metro,none,6.34,2025,2025 Beijing health development statistical communiqué (Beijing Municipal Health Commission),"Per 1,000 RESIDENT population. Reads high partly because Beijing's national-level hospitals serve patients from across China (place-of-practice basis, like Washington DC). Broad Chinese physician definition (incl. TCM etc.). Official statistic; independent verification not possible."
Shenzhen,LIV-05,Physicians per capita,Liveable,Health,per 1k,higher,Metro,none,3.02,2024,"Computed: 54,296 licensed (assistant) physicians (Guangdong Statistical Yearbook 2025, Table 21-4) / 17.99M year-end resident population (Table 3-7)","Exact division of two published official numbers. Cross-check: the city's own 2023 white paper states 2.86 per 1,000 at end-2023. Broad Chinese physician definition. Official statistic; independent verification not possible."
Delhi,LIV-05,Physicians per capita,Liveable,Health,per 1k,higher,Metro,none,0.96,2024,"WHO GHO HWF_0001 — India: 9.55 per 10,000",COUNTRY proxy — same national figure as Mumbai.
Singapore,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,24.7,2026 Mid-Year,"Singapore, Singapore","Cross-checked vs individual city page (live value 24.65, consistent)"
Tokyo,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,16,2026 Mid-Year,"Tokyo, Japan",
Copenhagen,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,10.7,2026 Mid-Year,"Copenhagen, Denmark",
Zurich,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,12.8,2026 Mid-Year,"Zurich, Switzerland",
Vienna,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,15.8,2026 Mid-Year,"Vienna, Austria",
Seoul,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,30,2026 Mid-Year,"Seoul, South Korea",
Melbourne,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,7.5,2026 Mid-Year,"Melbourne, Australia",
Amsterdam,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,9.9,2026 Mid-Year,"Amsterdam, Netherlands",
London,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,16.7,2026 Mid-Year,"London, United Kingdom",
New York,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,10.9,2026 Mid-Year,"New York, NY, United States",
Paris,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,17,2026 Mid-Year,"Paris, France",
Toronto,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,11.6,2026 Mid-Year,"Toronto, Canada",
Berlin,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,11.1,2026 Mid-Year,"Berlin, Germany",
Barcelona,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,13.8,2026 Mid-Year,"Barcelona, Spain",
Dubai,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,7.8,2026 Mid-Year,"Dubai, United Arab Emirates",
San Francisco,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,6.5,2026 Mid-Year,"San Francisco, CA, United States",Individual city page currently shows 6.38 (live data drifts from the mid-year edition snapshot); the 6.5 edition value is used. Column parse verified against raw row HTML.
Stockholm,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,12.5,2026 Mid-Year,"Stockholm, Sweden","Price To Income Ratio column, Numbeo Property Prices Index 2026 Mid-Year (rankings.jsp fetched 2026-07-12)"
Oslo,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,11,2026 Mid-Year,"Oslo, Norway","Price To Income Ratio column, Numbeo Property Prices Index 2026 Mid-Year (rankings.jsp fetched 2026-07-12)"
Helsinki,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,11.4,2026 Mid-Year,"Helsinki, Finland","Price To Income Ratio column, Numbeo Property Prices Index 2026 Mid-Year (rankings.jsp fetched 2026-07-12)"
Madrid,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,13.2,2026 Mid-Year,"Madrid, Spain","Price To Income Ratio column, Numbeo Property Prices Index 2026 Mid-Year (rankings.jsp fetched 2026-07-12)"
Milan,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,18.2,2026 Mid-Year,"Milan, Italy","Price To Income Ratio column, Numbeo Property Prices Index 2026 Mid-Year (rankings.jsp fetched 2026-07-12)"
Rome,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,14.9,2026 Mid-Year,"Rome, Italy","Price To Income Ratio column, Numbeo Property Prices Index 2026 Mid-Year (rankings.jsp fetched 2026-07-12)"
Munich,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,13.1,2026 Mid-Year,"Munich, Germany","Price To Income Ratio column, Numbeo Property Prices Index 2026 Mid-Year (rankings.jsp fetched 2026-07-12)"
Frankfurt,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,7.7,2026 Mid-Year,"Frankfurt, Germany","Price To Income Ratio column, Numbeo Property Prices Index 2026 Mid-Year (rankings.jsp fetched 2026-07-12)"
Hamburg,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,11.1,2026 Mid-Year,"Hamburg, Germany","Price To Income Ratio column, Numbeo Property Prices Index 2026 Mid-Year (rankings.jsp fetched 2026-07-12)"
Brussels,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,7.2,2026 Mid-Year,"Brussels, Belgium","Price To Income Ratio column, Numbeo Property Prices Index 2026 Mid-Year (rankings.jsp fetched 2026-07-12)"
Dublin,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,9,2026 Mid-Year,"Dublin, Ireland","Price To Income Ratio column, Numbeo Property Prices Index 2026 Mid-Year (rankings.jsp fetched 2026-07-12)"
Lisbon,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,18.7,2026 Mid-Year,"Lisbon, Portugal","Price To Income Ratio column, Numbeo Property Prices Index 2026 Mid-Year (rankings.jsp fetched 2026-07-12)"
Prague,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,18.2,2026 Mid-Year,"Prague, Czech Republic","Price To Income Ratio column, Numbeo Property Prices Index 2026 Mid-Year (rankings.jsp fetched 2026-07-12)"
Warsaw,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,11.7,2026 Mid-Year,"Warsaw, Poland","Price To Income Ratio column, Numbeo Property Prices Index 2026 Mid-Year (rankings.jsp fetched 2026-07-12)"
Istanbul,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,10.1,2026 Mid-Year,"Istanbul, Turkey","Price To Income Ratio column, Numbeo Property Prices Index 2026 Mid-Year (rankings.jsp fetched 2026-07-12)"
Montreal,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,7.6,2026 Mid-Year,"Montreal, Canada","Price To Income Ratio column, Numbeo Property Prices Index 2026 Mid-Year (rankings.jsp fetched 2026-07-12)"
Vancouver,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,11.7,2026 Mid-Year,"Vancouver, Canada","Price To Income Ratio column, Numbeo Property Prices Index 2026 Mid-Year (rankings.jsp fetched 2026-07-12)"
Chicago,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,3.2,2026 Mid-Year,"Chicago, IL, United States","Price To Income Ratio column, Numbeo Property Prices Index 2026 Mid-Year (rankings.jsp fetched 2026-07-12)"
Boston,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,7.9,2026 Mid-Year,"Boston, MA, United States","Price To Income Ratio column, Numbeo Property Prices Index 2026 Mid-Year (rankings.jsp fetched 2026-07-12)"
Los Angeles,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,8.2,2026 Mid-Year,"Los Angeles, CA, United States","Price To Income Ratio column, Numbeo Property Prices Index 2026 Mid-Year (rankings.jsp fetched 2026-07-12)"
Seattle,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,4.8,2026 Mid-Year,"Seattle, WA, United States","Price To Income Ratio column, Numbeo Property Prices Index 2026 Mid-Year (rankings.jsp fetched 2026-07-12)"
Washington DC,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,4.3,2026 Mid-Year,"Washington, DC, United States","Price To Income Ratio column, Numbeo Property Prices Index 2026 Mid-Year (rankings.jsp fetched 2026-07-12)"
Sydney,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,12.5,2026 Mid-Year,"Sydney, Australia","Price To Income Ratio column, Numbeo Property Prices Index 2026 Mid-Year (rankings.jsp fetched 2026-07-12)"
Auckland,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,10.5,2026 Mid-Year,"Auckland, New Zealand","Price To Income Ratio column, Numbeo Property Prices Index 2026 Mid-Year (rankings.jsp fetched 2026-07-12)"
Osaka,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,10.6,current (last update 2026-06-19),"Osaka, Japan (city page)","Absent from 2026 Mid-Year rankings table; taken from numbeo.com/property-investment/in/Osaka current view: Price to Income Ratio 10.59 (80 entries, 16 contributors, past 18 months)."
Tel Aviv,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,20,2026 Mid-Year,"Tel Aviv-Yafo, Israel","Price To Income Ratio column, Numbeo Property Prices Index 2026 Mid-Year (rankings.jsp fetched 2026-07-12)"
Hong Kong,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,35.2,2026 Mid-Year,"Hong Kong, Hong Kong (China)","Price To Income Ratio column, Numbeo Property Prices Index 2026 Mid-Year (rankings.jsp fetched 2026-07-12)"
Taipei,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,31.4,2026 Mid-Year,"Taipei, Taiwan","Price To Income Ratio column, Numbeo Property Prices Index 2026 Mid-Year (rankings.jsp fetched 2026-07-12)"
Bangkok,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,37.8,2026 Mid-Year,"Bangkok, Thailand","Price To Income Ratio column, Numbeo Property Prices Index 2026 Mid-Year (rankings.jsp fetched 2026-07-12)"
Kuala Lumpur,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,8.6,2026 Mid-Year,"Kuala Lumpur, Malaysia","Price To Income Ratio column, Numbeo Property Prices Index 2026 Mid-Year (rankings.jsp fetched 2026-07-12)"
Jakarta,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,24.9,2026 Mid-Year,"Jakarta, Indonesia","Price To Income Ratio column, Numbeo Property Prices Index 2026 Mid-Year (rankings.jsp fetched 2026-07-12)"
Manila,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,34.8,2026 Mid-Year,"Manila, Philippines","Price To Income Ratio column, Numbeo Property Prices Index 2026 Mid-Year (rankings.jsp fetched 2026-07-12)"
Ho Chi Minh City,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,32.4,2026 Mid-Year,"Ho Chi Minh City, Vietnam","Price To Income Ratio column, Numbeo Property Prices Index 2026 Mid-Year (rankings.jsp fetched 2026-07-12)"
Mumbai,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,30.1,2026 Mid-Year,"Mumbai, India","Price To Income Ratio column, Numbeo Property Prices Index 2026 Mid-Year (rankings.jsp fetched 2026-07-12)"
Abu Dhabi,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,7.4,2026 Mid-Year,"Abu Dhabi, United Arab Emirates","Price To Income Ratio column, Numbeo Property Prices Index 2026 Mid-Year (rankings.jsp fetched 2026-07-12)"
Shanghai,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,31.2,2026 Mid-Year,"Shanghai, China","Price To Income Ratio column, Numbeo Property Prices Index 2026 Mid-Year (rankings.jsp fetched 2026-07-12)"
Beijing,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,29.7,2026 Mid-Year,"Beijing, China","Price To Income Ratio column, Numbeo Property Prices Index 2026 Mid-Year (rankings.jsp fetched 2026-07-12)"
Shenzhen,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,28.6,2026 Mid-Year,"Shenzhen, China","Price To Income Ratio column, Numbeo Property Prices Index 2026 Mid-Year (rankings.jsp fetched 2026-07-12)"
Delhi,LIV-06,House-price-to-income,Liveable,Housing & Cost,ratio,lower,City,crowd,16.1,2026 Mid-Year,"Delhi, India","Price To Income Ratio column, Numbeo Property Prices Index 2026 Mid-Year (rankings.jsp fetched 2026-07-12)"
Singapore,LIV-07,Cost of living,Liveable,Housing & Cost,index,lower,City,crowd,90.8,2026 Mid-Year,"Singapore, Singapore","Cost of Living Index (excl. rent, NYC=100), Numbeo 2026 Mid-Year (fetched 2026-07-17)"
Tokyo,LIV-07,Cost of living,Liveable,Housing & Cost,index,lower,City,crowd,54.3,2026 Mid-Year,"Tokyo, Japan","Cost of Living Index (excl. rent, NYC=100), Numbeo 2026 Mid-Year (fetched 2026-07-17)"
Copenhagen,LIV-07,Cost of living,Liveable,Housing & Cost,index,lower,City,crowd,86.8,2026 Mid-Year,"Copenhagen, Denmark","Cost of Living Index (excl. rent, NYC=100), Numbeo 2026 Mid-Year (fetched 2026-07-17)"
Zurich,LIV-07,Cost of living,Liveable,Housing & Cost,index,lower,City,crowd,123.1,2026 Mid-Year,"Zurich, Switzerland","Cost of Living Index (excl. rent, NYC=100), Numbeo 2026 Mid-Year (fetched 2026-07-17)"
Vienna,LIV-07,Cost of living,Liveable,Housing & Cost,index,lower,City,crowd,74.5,2026 Mid-Year,"Vienna, Austria","Cost of Living Index (excl. rent, NYC=100), Numbeo 2026 Mid-Year (fetched 2026-07-17)"
Seoul,LIV-07,Cost of living,Liveable,Housing & Cost,index,lower,City,crowd,64.5,2026 Mid-Year,"Seoul, South Korea","Cost of Living Index (excl. rent, NYC=100), Numbeo 2026 Mid-Year (fetched 2026-07-17)"
Melbourne,LIV-07,Cost of living,Liveable,Housing & Cost,index,lower,City,crowd,77.3,2026 Mid-Year,"Melbourne, Australia","Cost of Living Index (excl. rent, NYC=100), Numbeo 2026 Mid-Year (fetched 2026-07-17)"
Amsterdam,LIV-07,Cost of living,Liveable,Housing & Cost,index,lower,City,crowd,81.4,2026 Mid-Year,"Amsterdam, Netherlands","Cost of Living Index (excl. rent, NYC=100), Numbeo 2026 Mid-Year (fetched 2026-07-17)"
London,LIV-07,Cost of living,Liveable,Housing & Cost,index,lower,City,crowd,88,2026 Mid-Year,"London, United Kingdom","Cost of Living Index (excl. rent, NYC=100), Numbeo 2026 Mid-Year (fetched 2026-07-17)"
New York,LIV-07,Cost of living,Liveable,Housing & Cost,index,lower,City,crowd,100,2026 Mid-Year,"New York, NY, United States","Cost of Living Index (excl. rent, NYC=100), Numbeo 2026 Mid-Year (fetched 2026-07-17)"
Paris,LIV-07,Cost of living,Liveable,Housing & Cost,index,lower,City,crowd,78.4,2026 Mid-Year,"Paris, France","Cost of Living Index (excl. rent, NYC=100), Numbeo 2026 Mid-Year (fetched 2026-07-17)"
Toronto,LIV-07,Cost of living,Liveable,Housing & Cost,index,lower,City,crowd,65.6,2026 Mid-Year,"Toronto, Canada","Cost of Living Index (excl. rent, NYC=100), Numbeo 2026 Mid-Year (fetched 2026-07-17)"
Berlin,LIV-07,Cost of living,Liveable,Housing & Cost,index,lower,City,crowd,72.5,2026 Mid-Year,"Berlin, Germany","Cost of Living Index (excl. rent, NYC=100), Numbeo 2026 Mid-Year (fetched 2026-07-17)"
Barcelona,LIV-07,Cost of living,Liveable,Housing & Cost,index,lower,City,crowd,59.9,2026 Mid-Year,"Barcelona, Spain","Cost of Living Index (excl. rent, NYC=100), Numbeo 2026 Mid-Year (fetched 2026-07-17)"
Dubai,LIV-07,Cost of living,Liveable,Housing & Cost,index,lower,City,crowd,62.5,2026 Mid-Year,"Dubai, United Arab Emirates","Cost of Living Index (excl. rent, NYC=100), Numbeo 2026 Mid-Year (fetched 2026-07-17)"
San Francisco,LIV-07,Cost of living,Liveable,Housing & Cost,index,lower,City,crowd,94.9,2026 Mid-Year,"San Francisco, CA, United States","Cost of Living Index (excl. rent, NYC=100), Numbeo 2026 Mid-Year (fetched 2026-07-17)"
Stockholm,LIV-07,Cost of living,Liveable,Housing & Cost,index,lower,City,crowd,79.1,2026 Mid-Year,"Stockholm, Sweden","Cost of Living Index (excl. rent, NYC=100), Numbeo 2026 Mid-Year (fetched 2026-07-17)"
Oslo,LIV-07,Cost of living,Liveable,Housing & Cost,index,lower,City,crowd,92.1,2026 Mid-Year,"Oslo, Norway","Cost of Living Index (excl. rent, NYC=100), Numbeo 2026 Mid-Year (fetched 2026-07-17)"
Helsinki,LIV-07,Cost of living,Liveable,Housing & Cost,index,lower,City,crowd,73.9,2026 Mid-Year,"Helsinki, Finland","Cost of Living Index (excl. rent, NYC=100), Numbeo 2026 Mid-Year (fetched 2026-07-17)"
Madrid,LIV-07,Cost of living,Liveable,Housing & Cost,index,lower,City,crowd,59.1,2026 Mid-Year,"Madrid, Spain","Cost of Living Index (excl. rent, NYC=100), Numbeo 2026 Mid-Year (fetched 2026-07-17)"
Milan,LIV-07,Cost of living,Liveable,Housing & Cost,index,lower,City,crowd,74.3,2026 Mid-Year,"Milan, Italy","Cost of Living Index (excl. rent, NYC=100), Numbeo 2026 Mid-Year (fetched 2026-07-17)"
Rome,LIV-07,Cost of living,Liveable,Housing & Cost,index,lower,City,crowd,60,2026 Mid-Year,"Rome, Italy","Cost of Living Index (excl. rent, NYC=100), Numbeo 2026 Mid-Year (fetched 2026-07-17)"
Munich,LIV-07,Cost of living,Liveable,Housing & Cost,index,lower,City,crowd,77.4,2026 Mid-Year,"Munich, Germany","Cost of Living Index (excl. rent, NYC=100), Numbeo 2026 Mid-Year (fetched 2026-07-17)"
Frankfurt,LIV-07,Cost of living,Liveable,Housing & Cost,index,lower,City,crowd,71.5,2026 Mid-Year,"Frankfurt, Germany","Cost of Living Index (excl. rent, NYC=100), Numbeo 2026 Mid-Year (fetched 2026-07-17)"
Hamburg,LIV-07,Cost of living,Liveable,Housing & Cost,index,lower,City,crowd,70.8,2026 Mid-Year,"Hamburg, Germany","Cost of Living Index (excl. rent, NYC=100), Numbeo 2026 Mid-Year (fetched 2026-07-17)"
Brussels,LIV-07,Cost of living,Liveable,Housing & Cost,index,lower,City,crowd,71.9,2026 Mid-Year,"Brussels, Belgium","Cost of Living Index (excl. rent, NYC=100), Numbeo 2026 Mid-Year (fetched 2026-07-17)"
Dublin,LIV-07,Cost of living,Liveable,Housing & Cost,index,lower,City,crowd,76.3,2026 Mid-Year,"Dublin, Ireland","Cost of Living Index (excl. rent, NYC=100), Numbeo 2026 Mid-Year (fetched 2026-07-17)"
Lisbon,LIV-07,Cost of living,Liveable,Housing & Cost,index,lower,City,crowd,55.2,2026 Mid-Year,"Lisbon, Portugal","Cost of Living Index (excl. rent, NYC=100), Numbeo 2026 Mid-Year (fetched 2026-07-17)"
Prague,LIV-07,Cost of living,Liveable,Housing & Cost,index,lower,City,crowd,57.3,2026 Mid-Year,"Prague, Czech Republic","Cost of Living Index (excl. rent, NYC=100), Numbeo 2026 Mid-Year (fetched 2026-07-17)"
Warsaw,LIV-07,Cost of living,Liveable,Housing & Cost,index,lower,City,crowd,52.7,2026 Mid-Year,"Warsaw, Poland","Cost of Living Index (excl. rent, NYC=100), Numbeo 2026 Mid-Year (fetched 2026-07-17)"
Istanbul,LIV-07,Cost of living,Liveable,Housing & Cost,index,lower,City,crowd,46.6,2026 Mid-Year,"Istanbul, Turkey","Cost of Living Index (excl. rent, NYC=100), Numbeo 2026 Mid-Year (fetched 2026-07-17)"
Montreal,LIV-07,Cost of living,Liveable,Housing & Cost,index,lower,City,crowd,58.3,2026 Mid-Year,"Montreal, Canada","Cost of Living Index (excl. rent, NYC=100), Numbeo 2026 Mid-Year (fetched 2026-07-17)"
Vancouver,LIV-07,Cost of living,Liveable,Housing & Cost,index,lower,City,crowd,68.5,2026 Mid-Year,"Vancouver, Canada","Cost of Living Index (excl. rent, NYC=100), Numbeo 2026 Mid-Year (fetched 2026-07-17)"
Chicago,LIV-07,Cost of living,Liveable,Housing & Cost,index,lower,City,crowd,75.8,2026 Mid-Year,"Chicago, IL, United States","Cost of Living Index (excl. rent, NYC=100), Numbeo 2026 Mid-Year (fetched 2026-07-17)"
Boston,LIV-07,Cost of living,Liveable,Housing & Cost,index,lower,City,crowd,89,2026 Mid-Year,"Boston, MA, United States","Cost of Living Index (excl. rent, NYC=100), Numbeo 2026 Mid-Year (fetched 2026-07-17)"
Los Angeles,LIV-07,Cost of living,Liveable,Housing & Cost,index,lower,City,crowd,84.5,2026 Mid-Year,"Los Angeles, CA, United States","Cost of Living Index (excl. rent, NYC=100), Numbeo 2026 Mid-Year (fetched 2026-07-17)"
Seattle,LIV-07,Cost of living,Liveable,Housing & Cost,index,lower,City,crowd,91.4,2026 Mid-Year,"Seattle, WA, United States","Cost of Living Index (excl. rent, NYC=100), Numbeo 2026 Mid-Year (fetched 2026-07-17)"
Washington DC,LIV-07,Cost of living,Liveable,Housing & Cost,index,lower,City,crowd,92.1,2026 Mid-Year,"Washington, DC, United States","Cost of Living Index (excl. rent, NYC=100), Numbeo 2026 Mid-Year (fetched 2026-07-17)"
Sydney,LIV-07,Cost of living,Liveable,Housing & Cost,index,lower,City,crowd,79.2,2026 Mid-Year,"Sydney, Australia","Cost of Living Index (excl. rent, NYC=100), Numbeo 2026 Mid-Year (fetched 2026-07-17)"
Auckland,LIV-07,Cost of living,Liveable,Housing & Cost,index,lower,City,crowd,64.4,2026 Mid-Year,"Auckland, New Zealand","Cost of Living Index (excl. rent, NYC=100), Numbeo 2026 Mid-Year (fetched 2026-07-17)"
Osaka,LIV-07,Cost of living,Liveable,Housing & Cost,index,lower,City,crowd,42.7,2026 Mid-Year,"Osaka, Japan","Cost of Living Index (excl. rent, NYC=100), Numbeo 2026 Mid-Year (fetched 2026-07-17)"
Tel Aviv,LIV-07,Cost of living,Liveable,Housing & Cost,index,lower,City,crowd,103.9,2026 Mid-Year,"Tel Aviv-Yafo, Israel","Cost of Living Index (excl. rent, NYC=100), Numbeo 2026 Mid-Year (fetched 2026-07-17)"
Hong Kong,LIV-07,Cost of living,Liveable,Housing & Cost,index,lower,City,crowd,76.4,2026 Mid-Year,"Hong Kong, Hong Kong (China)","Cost of Living Index (excl. rent, NYC=100), Numbeo 2026 Mid-Year (fetched 2026-07-17)"
Taipei,LIV-07,Cost of living,Liveable,Housing & Cost,index,lower,City,crowd,54.5,2026 Mid-Year,"Taipei, Taiwan","Cost of Living Index (excl. rent, NYC=100), Numbeo 2026 Mid-Year (fetched 2026-07-17)"
Bangkok,LIV-07,Cost of living,Liveable,Housing & Cost,index,lower,City,crowd,43.5,2026 Mid-Year,"Bangkok, Thailand","Cost of Living Index (excl. rent, NYC=100), Numbeo 2026 Mid-Year (fetched 2026-07-17)"
Kuala Lumpur,LIV-07,Cost of living,Liveable,Housing & Cost,index,lower,City,crowd,38.8,2026 Mid-Year,"Kuala Lumpur, Malaysia","Cost of Living Index (excl. rent, NYC=100), Numbeo 2026 Mid-Year (fetched 2026-07-17)"
Jakarta,LIV-07,Cost of living,Liveable,Housing & Cost,index,lower,City,crowd,28.7,2026 Mid-Year,"Jakarta, Indonesia","Cost of Living Index (excl. rent, NYC=100), Numbeo 2026 Mid-Year (fetched 2026-07-17)"
Manila,LIV-07,Cost of living,Liveable,Housing & Cost,index,lower,City,crowd,34.3,2026 Mid-Year,"Manila, Philippines","Cost of Living Index (excl. rent, NYC=100), Numbeo 2026 Mid-Year (fetched 2026-07-17)"
Ho Chi Minh City,LIV-07,Cost of living,Liveable,Housing & Cost,index,lower,City,crowd,29.6,2026 Mid-Year,"Ho Chi Minh City, Vietnam","Cost of Living Index (excl. rent, NYC=100), Numbeo 2026 Mid-Year (fetched 2026-07-17)"
Mumbai,LIV-07,Cost of living,Liveable,Housing & Cost,index,lower,City,crowd,25.8,2026 Mid-Year,"Mumbai, India","Cost of Living Index (excl. rent, NYC=100), Numbeo 2026 Mid-Year (fetched 2026-07-17)"
